# iteration, function_name, metric_value, metric_value_bootstrap, constraint_approved
3, random, 11.134, 0.016, True
11, swap_three, 10.616, 0.005, True
32, random, 9.966, 0.004, True
40, replace_two_fill, 9.445, 0.002, True
87, swap_three, 9.370, 0.003, True
0, swap_three, 9.438, 0.002, True
37, replace_one, 9.393, 0.002, True
46, swap_three, 9.312, 0.002, True
1, replace_one_fill, 9.372, 0.003, True
10, remove_three, 12.238, 0.011, True
12, swap_three, 10.613, 0.003, True
28, replace_two, 10.076, 0.003, True
32, replace_one_fill, 9.533, 0.003, True
50, replace_one_fill, 9.502, 0.003, True
0, replace_three_fill, 9.905, 0.003, True
25, replace_two_fill, 9.533, 0.003, True
40, replace_one, 9.513, 0.002, True
44, replace_two, 9.377, 0.002, True
51, swap_two, 9.331, 0.002, True
52, swap_three, 9.114, 0.002, True
70, swap_two, 9.091, 0.003, True
0, replace_two_fill, 12.651, 0.021, True
12, replace_one_fill, 10.264, 0.004, True
16, replace_one, 9.891, 0.003, True
19, swap_one, 9.486, 0.002, True
7, replace_one_fill, 11.117, 0.004, True
17, replace_one_fill, 10.030, 0.003, True
51, swap_three, 9.939, 0.004, True
0, remove_three, 10.724, 0.004, True
3, replace_one_fill, 10.395, 0.004, True
12, replace_two_fill, 9.906, 0.003, True
29, swap_three, 9.900, 0.003, True
31, replace_one_fill, 9.702, 0.003, True
33, swap_three, 9.375, 0.003, True
44, swap_three, 9.332, 0.003, True
2, replace_one, 10.670, 0.005, True
11, replace_one, 10.160, 0.002, True
25, swap_one, 10.074, 0.002, True
31, replace_one_fill, 9.763, 0.002, True
52, swap_one, 9.422, 0.002, True
80, replace_one, 9.411, 0.002, True
5, remove_two, 15.552, 0.032, True
7, swap_three, 13.125, 0.016, True
9, swap_two, 11.085, 0.010, True
15, replace_one, 11.081, 0.003, True
16, replace_three_fill, 9.844, 0.003, True
17, replace_one, 9.438, 0.003, True
25, replace_one_fill, 9.203, 0.002, True
34, swap_one, 9.109, 0.002, True
63, replace_one_fill, 9.109, 0.002, True
74, replace_one, 9.094, 0.002, True
